2022
1
Bills,Rams,Rams,0
Saints,Falcons,Saints,1
49ers,Bears,49ers,0
Steelers,Bengals,Bengals,0
Eagles,Lions,Eagles,1
Patriots,Dolphins,Patriots,0
Ravens,Jets,Ravens,1
Jaguars,Commanders,Jaguars,0
Browns,Panthers,Panthers,0
Colts,Texans,Texans,0
Buccaneers,Cowboys,Buccaneers,1
Giants,Titans,Titans,0
Packers,Vikings,Vikings,1
Chiefs,Cardinals,Cardinals,0
Raiders,Chargers,Chargers,1
Broncos,Seahawks,Broncos,0
2
Chargers,Chiefs,Chiefs,1
Jets,Browns,Jets,1
Commanders,Lions,Lions,1
Buccaneers,Saints,Saints,0
Panthers,Giants,Panthers,0
Patriots,Steelers,Patriots,1
Colts,Jaguars,Colts,0
Dolphins,Ravens,Ravens,0
Falcons,Rams,Rams,1
Seahawks,49ers,Seahawks,0
Bengals,Cowboys,Cowboys,1
Texans,Broncos,Broncos,1
Cardinals,Raiders,Cardinals,1
Bears,Packers,Bears,0
Titans,Bills,Titans,0
Vikings,Eagles,Eagles,1
3
Steelers,Browns,Browns,1
Saints,Panthers,Saints,0
Texans,Bears,Texans,0
Chiefs,Colts,Chiefs,0
Bills,Dolphins,Dolphins,1
Lions,Vikings,Vikings,1
Ravens,Patriots,Ravens,1
Bengals,Jets,Bengals,1
Raiders,Titans,Titans,1
Eagles,Commanders,Eagles,1
Jaguars,Chargers,Jaguars,1
Rams,Cardinals,Rams,1
Falcons,Seahawks,Seahawks,0
Packers,Buccaneers,Buccaneers,0
49ers,Broncos,Broncos,1
Cowboys,Giants,Cowboys,1,Cowboys,1
4
Dolphins,Bengals,Dolphins,0
Vikings,Saints,Saints,0
Cowboys,Eagles,Eagles,9.77,1
Broncos,Chargers,Chargers,70.91,1
7
Saints,Cardinals,Saints,58.58,0
Buccaneers,Panthers,Buccaneers,95.03,0
Falcons,Bengals,Bengals,65.3,1
Lions,Cowboys,Cowboys,77.06,1
Giants,Jaguars,Giants,58.54,1
Colts,Titans,Titans,30.09,1
Browns,Ravens,Ravens,13.35,1
Packers,Washington,Packers,88.75,0
Jets,Broncos,Broncos,2.81,0
Texans,Raiders,Raiders,76.03,1
Seahawks,Chargers,Seahawks,38.82,1
Chiefs,49ers,Chiefs,8.51,1
Steelers,Dolphins,Dolphins,49.02,1
Bears,Patriots,Patriots,34.75,0
8
Ravens,Buccaneers,Buccaneers,6.03,0
Broncos,Jaguars,Jaguars,15.1,0
Panthers,Falcons,Falcons,19.75,1
Bears,Cowboys,Cowboys,58.64,1
Dolphins,Lions,Dolphins,70.93,1
Cardinals,Vikings,Vikings,39.26,1
Raiders,Saints,Saints,64.77,1
Patriots,Jets,Patriots,85.48,1
Steelers,Eagles,Eagles,29.35,1
Titans,Texans,Titans,86.44,1
Commanders,Colts,Colts,92.37,0
49ers,Rams,Rams,14.07,0
Giants,Seahawks,Seahawks,84.53,1
Packers,Bills,Bills,6.23,1
Bengals,Browns,Browns,64.86,1
9
Eagles,Texans,Eagles,81.96,1
Chargers,Falcons,Chargers,48.31,1
Dolphins,Bears,Dolphins,37.99,1
Panthers,Bengals,Bengals,65.59,1
Packers,Lions,Packers,81.41,0
Raiders,Jaguars,Raiders,86.43,0
Colts,Patriots,Patriots,27.15,1
Bills,Jets,Bills,84.90,0
Vikings,Commanders,Vikings,73.47,1
Seahawks,Cardinals,Seahawks,66.33,1
Rams,Buccaneers,Rams,33.56,0
Titans,Chiefs,Titans,3.59,0
Ravens,Saints,Ravens,23.04,0
10
Falcons,Panthers,82.07,0
Seahawks,Buccaneers,4.22,0
Bills,Vikings,20.79,0
Bears,Lions,67.72,0
Titans,Broncos,83.9,1
Chiefs,Jaguars,91.04,1
Dolphins,Browns,59.76,1
Texans,Giants,2.09,0
Saints,Steelers,12.7,0
Raiders,Colts,22.28,0
Packers,Cowboys,5.64,1
Rams,Cardinals,72.64,0
49ers,Chargers,2.18,1
Eagles,Washington,74.85,0
11
Packers,Titans,12.85,0
Bears,Falcons,11.84,0
Bills,Browns,39.46,1
Eagles,Colts,46.69,1
Patriots,Jets,82.0,1
Saints,Rams,28.41,1
Lions,Giants,12.65,1
Ravens,Panthers,91.34,1
Washington,Texans,54.48,1
Raiders,Broncos,65.42,1
Cowboys,Vikings,18.05,1
Chiefs,Chargers,72.73,1
Steelers,Bengals,75.03,0
49ers,Cardinals,17.39,1
12
Bills,Lions,90.02,1
Cowboys,Giants,81.25,1
Patriots,Vikings,4.81,0
Buccaneers,Browns,28.87,0
Titans,Bengals,73.68,0
Dolphins,Texans,52.24,1
Bears,Jets,51.69,0
Washington,Falcons,3.11,1
Broncos,Panthers,71.62,0
Ravens,Jaguars,88.87,0
Cardinals,Chargers,27.29,0
Seahawks,Raiders,74.45,0
Chiefs,Rams,27.73,1
Saints,49ers,25.34,0
Packers,Eagles,0.77,0
Steelers,Colts,21.85,1
13
Steelers,Falcons,78.34,1
Packers,Bears,71.08,1
Lions,Jaguars,0.22,1
Vikings,Jets,81.78,1
Eagles,Titans,8.38,1
Ravens,Broncos,81.69,1
Browns,Texans,62.96,1
Seahawks,Rams,16.79,1
Dolphins,49ers,22.86,0
Chiefs,Bengals,61.76,0
Chargers,Raiders,19.72,0
Cowboys,Colts,58.27,1
Saints,Buccaneers,2.04,0
2023
1
Steelers,Falcons,78.34,1
Packers,Bears,71.08,1
Lions,Jaguars,0.22,1
Vikings,Jets,81.78,1
Eagles,Titans,8.38,1
Ravens,Broncos,81.69,1
Browns,Texans,62.96,1
Seahawks,Rams,16.79,1
Dolphins,49ers,22.86,0
Chiefs,Bengals,61.76,0
Chargers,Raiders,19.72,0
Cowboys,Colts,58.27,1
Saints,Buccaneers,2.04,0
2
Eagles,Vikings,1
Falcons,Packers,1
Bills,Raiders,1
Bengals,Ravens,0
Lions,Seahawks,0
Chargers,Titans,0
Buccaneers,Bears,1
Chiefs,Jaguars,1
Colts,Texans,1
Rams,49ers,0
Giants,Cardinals,1
Cowboys,Jets,1
Broncos,Washington,0
Patriots,Dolphins,0
Saints,Panthers,1
Steelers,Browns,1
